city,year,case,,,,,,,,,,,,,,,,,,,,,
台北市,2009,171,,,,,,,,,,,,,,,,,,,,,
新北市,2009,288,,,,,,,,,,,,,,,,,,,,,
基隆市,2009,20,,,,,,,,,,,,,,,,,,,,,
桃園市,2009,67,,,,,,,,,,,,,,,,,,,,,
新竹市,2009,15,,,,,,,,,,,,,,,,,,,,,
新竹縣,2009,27,,,,,,,,,,,,,,,,,,,,,
苗栗縣,2009,62,,,,,,,,,,,,,,,,,,,,,
南投縣,2009,11,,,,,,,,,,,,,,,,,,,,,
台中市,2009,74,,,,,,,,,,,,,,,,,,,,,
彰化縣,2009,43,,,,,,,,,,,,,,,,,,,,,
雲林縣,2009,30,,,,,,,,,,,,,,,,,,,,,
嘉義市,2009,14,,,,,,,,,,,,,,,,,,,,,
嘉義縣,2009,15,,,,,,,,,,,,,,,,,,,,,
台南市,2009,44,,,,,,,,,,,,,,,,,,,,,
高雄市,2009,83,,,,,,,,,,,,,,,,,,,,,
屏東縣,2009,49,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,2009,14,,,,,,,,,,,,,,,,,,,,,
花蓮縣,2009,95,,,,,,,,,,,,,,,,,,,,,
台東縣,2009,7,,,,,,,,,,,,,,,,,,,,,
澎湖縣,2009,7,,,,,,,,,,,,,,,,,,,,,
金門縣,2009,1,,,,,,,,,,,,,,,,,,,,,
連江縣,2009,0,,,,,,,,,,,,,,,,,,,,,
台北市,2010,61,,,,,,,,,,,,,,,,,,,,,
新北市,2010,161,,,,,,,,,,,,,,,,,,,,,
基隆市,2010,8,,,,,,,,,,,,,,,,,,,,,
桃園市,2010,44,,,,,,,,,,,,,,,,,,,,,
新竹市,2010,10,,,,,,,,,,,,,,,,,,,,,
新竹縣,2010,11,,,,,,,,,,,,,,,,,,,,,
苗栗縣,2010,21,,,,,,,,,,,,,,,,,,,,,
南投縣,2010,10,,,,,,,,,,,,,,,,,,,,,
台中市,2010,39,,,,,,,,,,,,,,,,,,,,,
彰化縣,2010,32,,,,,,,,,,,,,,,,,,,,,
雲林縣,2010,30,,,,,,,,,,,,,,,,,,,,,
嘉義市,2010,10,,,,,,,,,,,,,,,,,,,,,
嘉義縣,2010,30,,,,,,,,,,,,,,,,,,,,,
台南市,2010,99,,,,,,,,,,,,,,,,,,,,,
高雄市,2010,145,,,,,,,,,,,,,,,,,,,,,
屏東縣,2010,38,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,2010,8,,,,,,,,,,,,,,,,,,,,,
花蓮縣,2010,111,,,,,,,,,,,,,,,,,,,,,
台東縣,2010,12,,,,,,,,,,,,,,,,,,,,,
澎湖縣,2010,5,,,,,,,,,,,,,,,,,,,,,
金門縣,2010,0,,,,,,,,,,,,,,,,,,,,,
連江縣,2010,0,,,,,,,,,,,,,,,,,,,,,
台北市,2011,168,,,,,,,,,,,,,,,,,,,,,
新北市,2011,414,,,,,,,,,,,,,,,,,,,,,
基隆市,2011,14,,,,,,,,,,,,,,,,,,,,,
桃園市,2011,142,,,,,,,,,,,,,,,,,,,,,
新竹市,2011,20,,,,,,,,,,,,,,,,,,,,,
新竹縣,2011,27,,,,,,,,,,,,,,,,,,,,,
苗栗縣,2011,22,,,,,,,,,,,,,,,,,,,,,
南投縣,2011,13,,,,,,,,,,,,,,,,,,,,,
台中市,2011,77,,,,,,,,,,,,,,,,,,,,,
彰化縣,2011,50,,,,,,,,,,,,,,,,,,,,,
雲林縣,2011,48,,,,,,,,,,,,,,,,,,,,,
嘉義市,2011,7,,,,,,,,,,,,,,,,,,,,,
嘉義縣,2011,32,,,,,,,,,,,,,,,,,,,,,
台南市,2011,75,,,,,,,,,,,,,,,,,,,,,
高雄市,2011,187,,,,,,,,,,,,,,,,,,,,,
屏東縣,2011,40,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,2011,15,,,,,,,,,,,,,,,,,,,,,
花蓮縣,2011,68,,,,,,,,,,,,,,,,,,,,,
台東縣,2011,40,,,,,,,,,,,,,,,,,,,,,
澎湖縣,2011,12,,,,,,,,,,,,,,,,,,,,,
金門縣,2011,3,,,,,,,,,,,,,,,,,,,,,
連江縣,2011,1,,,,,,,,,,,,,,,,,,,,,
台北市,2012,142,,,,,,,,,,,,,,,,,,,,,
新北市,2012,435,,,,,,,,,,,,,,,,,,,,,
基隆市,2012,7,,,,,,,,,,,,,,,,,,,,,
桃園市,2012,90,,,,,,,,,,,,,,,,,,,,,
新竹市,2012,15,,,,,,,,,,,,,,,,,,,,,
新竹縣,2012,29,,,,,,,,,,,,,,,,,,,,,
苗栗縣,2012,20,,,,,,,,,,,,,,,,,,,,,
南投縣,2012,46,,,,,,,,,,,,,,,,,,,,,
台中市,2012,67,,,,,,,,,,,,,,,,,,,,,
彰化縣,2012,83,,,,,,,,,,,,,,,,,,,,,
雲林縣,2012,39,,,,,,,,,,,,,,,,,,,,,
嘉義市,2012,9,,,,,,,,,,,,,,,,,,,,,
嘉義縣,2012,44,,,,,,,,,,,,,,,,,,,,,
台南市,2012,171,,,,,,,,,,,,,,,,,,,,,
高雄市,2012,207,,,,,,,,,,,,,,,,,,,,,
屏東縣,2012,59,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,2012,28,,,,,,,,,,,,,,,,,,,,,
花蓮縣,2012,36,,,,,,,,,,,,,,,,,,,,,
台東縣,2012,62,,,,,,,,,,,,,,,,,,,,,
澎湖縣,2012,4,,,,,,,,,,,,,,,,,,,,,
金門縣,2012,2,,,,,,,,,,,,,,,,,,,,,
連江縣,2012,0,,,,,,,,,,,,,,,,,,,,,
台北市,2013,159,,,,,,,,,,,,,,,,,,,,,
新北市,2013,282,,,,,,,,,,,,,,,,,,,,,
基隆市,2013,2,,,,,,,,,,,,,,,,,,,,,
桃園市,2013,51,,,,,,,,,,,,,,,,,,,,,
新竹市,2013,3,,,,,,,,,,,,,,,,,,,,,
新竹縣,2013,15,,,,,,,,,,,,,,,,,,,,,
苗栗縣,2013,15,,,,,,,,,,,,,,,,,,,,,
南投縣,2013,38,,,,,,,,,,,,,,,,,,,,,
台中市,2013,29,,,,,,,,,,,,,,,,,,,,,
彰化縣,2013,61,,,,,,,,,,,,,,,,,,,,,
雲林縣,2013,27,,,,,,,,,,,,,,,,,,,,,
嘉義市,2013,4,,,,,,,,,,,,,,,,,,,,,
嘉義縣,2013,17,,,,,,,,,,,,,,,,,,,,,
台南市,2013,73,,,,,,,,,,,,,,,,,,,,,
高雄市,2013,99,,,,,,,,,,,,,,,,,,,,,
屏東縣,2013,21,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,2013,14,,,,,,,,,,,,,,,,,,,,,
花蓮縣,2013,15,,,,,,,,,,,,,,,,,,,,,
台東縣,2013,27,,,,,,,,,,,,,,,,,,,,,
澎湖縣,2013,1,,,,,,,,,,,,,,,,,,,,,
金門縣,2013,0,,,,,,,,,,,,,,,,,,,,,
連江縣,2013,0,,,,,,,,,,,,,,,,,,,,,
台北市,2014,279,,,,,,,,,,,,,,,,,,,,,
新北市,2014,528,,,,,,,,,,,,,,,,,,,,,
